"Name","High School Math Proficiency"
"Description","Public high school students meeting proficiency standards in Math after 4 years of instruction."
"Source Notes","New York State Education Department, New York State Report Cards Database (School Years 2008-09 to 2018-19); retrieved from&nbsp;<a href=""https://reportcards.nysed.gov/"" target=""_blank"">https://reportcards.nysed.gov/</a>."
"Notes","Students are deemed proficient if they score 65 or higher on the ELA Regents exam. Data refer to the results for a total cohort of students. A total cohort consists of all students who first entered Grade 9 in a particular year, and all ungraded students with disabilities who reached their seventeenth birthday in that&nbsp;<g class=""gr_ gr_16 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""16"" data-gr-id=""16"">year,</g>&nbsp;and were enrolled in the school/district for five months. Students are excluded from the cohort if they transferred to another school district, nonpublic school, or criminal justice facility, or left the U.S. and its territories or died before the report date.&nbsp;In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students tested is 5 or less are suppressed and maps and tables display ""0"" for that geography.&nbsp;"

Location,TimeFrame,DataFormat,Data,Fips
Lower East Side,2009,Number,666,SD1
Lower East Side,2009,Percent,0.75169,SD1
Lower East Side,2010,Number,676,SD1
Lower East Side,2010,Percent,0.74696,SD1
"Stuyvesant Town, Upper E. Side",2009,Number,6168,SD2
"Stuyvesant Town, Upper E. Side",2009,Percent,0.6778,SD2
"Stuyvesant Town, Upper E. Side",2010,Number,6870,SD2
"Stuyvesant Town, Upper E. Side",2010,Percent,0.71037,SD2
Upper West Side,2009,Number,1744,SD3
Upper West Side,2009,Percent,0.67755,SD3
Upper West Side,2010,Number,1757,SD3
Upper West Side,2010,Percent,0.6931,SD3
East Harlem,2009,Number,701,SD4
East Harlem,2009,Percent,0.7348,SD4
East Harlem,2010,Number,685,SD4
East Harlem,2010,Percent,0.75441,SD4
Central Harlem,2009,Number,629,SD5
Central Harlem,2009,Percent,0.70993,SD5
Central Harlem,2010,Number,680,SD5
Central Harlem,2010,Percent,0.73753,SD5
Washington Heights,2009,Number,753,SD6
Washington Heights,2009,Percent,0.76915,SD6
Washington Heights,2010,Number,840,SD6
Washington Heights,2010,Percent,0.7785,SD6
Mott Haven,2009,Number,895,SD7
Mott Haven,2009,Percent,0.56503,SD7
Mott Haven,2010,Number,976,SD7
Mott Haven,2010,Percent,0.5813,SD7
"Hunts Point, Port Morris",2009,Number,1570,SD8
"Hunts Point, Port Morris",2009,Percent,0.54685,SD8
"Hunts Point, Port Morris",2010,Number,1674,SD8
"Hunts Point, Port Morris",2010,Percent,0.58634,SD8
